user_id,name,email,phone,age,gender,location_city,location_state,preferred_language,registration_date,ai_comfort_level,preferred_categories,avg_monthly_spend,preferred_payment_method,notification_enabled,referral_code,total_referrals,is_active
U000001,User_U000001,u000001@email.com,+919746317213,25,Male,Pune,Karnataka,Hindi,2025-07-12,beginner,"[""Tees"", ""Electronics"", ""Home Decor"", ""Snack Time""]",7484.98,UPI,True,REFU000001,6,True
U000002,User_U000002,u000002@email.com,+917999270936,50,Other,Mumbai,Telangana,Hindi,2024-12-06,advanced,"[""Beauty"", ""Trousers"", ""Home Decor"", ""Snack Time""]",5616.48,UPI,True,REFU000002,13,True
U000003,User_U000003,u000003@email.com,+918461364854,35,Male,Delhi,Karnataka,English,2025-09-17,intermediate,"[""Snack Time"", ""Home Decor""]",9848.44,UPI,False,REFU000003,3,True
U000004,User_U000004,u000004@email.com,+918625792787,23,Other,Bangalore,West Bengal,Kannada,2025-05-02,advanced,"[""Home Decor"", ""Tees""]",2595.72,UPI,False,REFU000004,2,True
U000005,User_U000005,u000005@email.com,+917999829240,24,Female,Bangalore,Tamil Nadu,Tamil,2025-08-12,intermediate,"[""Trousers"", ""Snack Time"", ""Tees""]",9918.7,UPI,True,REFU000005,5,True
U000006,User_U000006,u000006@email.com,+918985392498,42,Female,Pune,West Bengal,Kannada,2025-07-14,advanced,"[""Tees"", ""Trousers"", ""Home Decor""]",12465.6,Card,False,REFU000006,2,True
U000007,User_U000007,u000007@email.com,+917906164396,54,Other,Bangalore,Delhi,Telugu,2025-04-15,advanced,"[""Trousers"", ""Snack Time"", ""Home Decor""]",5206.16,Net Banking,False,REFU000007,13,True
U000008,User_U000008,u000008@email.com,+919506254832,43,Female,Delhi,Delhi,Kannada,2025-02-24,beginner,"[""Tees"", ""Trousers""]",10156.8,Net Banking,False,REFU000008,2,True
U000009,User_U000009,u000009@email.com,+918652563013,42,Other,Chennai,Telangana,Tamil,2025-01-24,beginner,"[""Home Decor"", ""Tees"", ""Snack Time"", ""Beauty""]",6422.28,Card,False,REFU000009,5,True
U000010,User_U000010,u000010@email.com,+918948728483,18,Other,Pune,Karnataka,Kannada,2025-08-04,advanced,"[""Home Decor"", ""Snack Time""]",12941.7,Net Banking,True,REFU000010,4,True
U000011,User_U000011,u000011@email.com,+918605947756,28,Other,Kolkata,Telangana,English,2025-01-01,intermediate,"[""Tees"", ""Home Decor"", ""Snack Time""]",13423.38,Card,True,REFU000011,1,True
U000012,User_U000012,u000012@email.com,+918034535593,54,Male,Mumbai,West Bengal,Telugu,2025-09-29,advanced,"[""Trousers"", ""Beauty""]",14309.03,UPI,False,REFU000012,13,True
U000013,User_U000013,u000013@email.com,+917909666337,52,Other,Pune,Delhi,Tamil,2025-04-13,advanced,"[""Snack Time"", ""Beauty"", ""Electronics"", ""Tees""]",5222.77,UPI,False,REFU000013,0,True
U000014,User_U000014,u000014@email.com,+919526766690,53,Male,Hyderabad,Delhi,English,2025-09-28,advanced,"[""Tees"", ""Trousers"", ""Home Decor"", ""Beauty""]",13175.26,UPI,True,REFU000014,8,True
U000015,User_U000015,u000015@email.com,+919873237671,49,Male,Hyderabad,Delhi,Kannada,2025-01-12,intermediate,"[""Beauty"", ""Home Decor""]",4475.33,UPI,False,REFU000015,11,True
U000016,User_U000016,u000016@email.com,+918819256337,44,Female,Kolkata,West Bengal,English,2024-12-04,advanced,"[""Tees"", ""Beauty""]",11466.78,UPI,True,REFU000016,6,True
U000017,User_U000017,u000017@email.com,+917816941039,52,Female,Delhi,Tamil Nadu,Hindi,2025-06-14,intermediate,"[""Tees"", ""Beauty""]",12504.29,Net Banking,True,REFU000017,1,True
U000018,User_U000018,u000018@email.com,+919800940984,52,Male,Mumbai,Delhi,Hindi,2025-04-09,intermediate,"[""Trousers"", ""Beauty"", ""Tees""]",4140.28,UPI,False,REFU000018,8,True
U000019,User_U000019,u000019@email.com,+918954246074,36,Female,Pune,West Bengal,Kannada,2025-02-27,beginner,"[""Snack Time"", ""Trousers""]",14593.22,Net Banking,True,REFU000019,10,True
U000020,User_U000020,u000020@email.com,+917245522987,21,Other,Chennai,Telangana,Kannada,2025-08-15,beginner,"[""Tees"", ""Trousers"", ""Home Decor"", ""Snack Time""]",2883.49,UPI,False,REFU000020,3,True
